2025-07-05 23:43:17,681 | INFO | __main__ | Starting crawl stage
2025-07-05 23:43:17,886 | INFO | httpx | HTTP Request: GET https://whtyqwdpqppsnmfjnxfl.supabase.co/rest/v1/recent_review_links?select=link%2Cpost_date "HTTP/2 200 OK"
2025-07-05 23:43:17,891 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com
2025-07-05 23:43:18,029 | INFO | crawler.sources.baradwajrangan_links | Page 1 attempt 1 length=197714
2025-07-05 23:43:18,071 | INFO | crawler.sources.baradwajrangan_links | Skipping known link: https://baradwajrangan.wordpress.com/2025/07/05/readers-write-in-824-love-actually/
2025-07-05 23:43:18,072 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/2/
2025-07-05 23:43:18,098 | INFO | crawler.sources.baradwajrangan_links | Page 2 attempt 1 length=210983
2025-07-05 23:43:18,125 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/3/
2025-07-05 23:43:18,146 | INFO | crawler.sources.baradwajrangan_links | Page 3 attempt 1 length=215790
2025-07-05 23:43:18,174 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/4/
2025-07-05 23:43:18,197 | INFO | crawler.sources.baradwajrangan_links | Page 4 attempt 1 length=211877
2025-07-05 23:43:18,221 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/5/
2025-07-05 23:43:18,243 | INFO | crawler.sources.baradwajrangan_links | Page 5 attempt 1 length=212243
2025-07-05 23:43:18,268 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/6/
2025-07-05 23:43:18,296 | INFO | crawler.sources.baradwajrangan_links | Page 6 attempt 1 length=211353
2025-07-05 23:43:18,321 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/7/
2025-07-05 23:43:18,343 | INFO | crawler.sources.baradwajrangan_links | Page 7 attempt 1 length=212149
2025-07-05 23:43:18,366 | INFO | crawler.sources.baradwajrangan_links | Fetching https://baradwajrangan.wordpress.com/page/8/
